cod_ibge;municipio;nucleo
3300100;Angra dos Reis;ANGRA DOS REIS
3300159;Aperibé;ITAOCARA
3300209;Araruama;ARARUAMA
3300225;Areal;TRÊS RIOS
3300233;Armação dos Búzios;ARARUAMA
3300258;Arraial do Cabo;ARARUAMA
3300407;Barra Mansa;BARRA MANSA
3300308;Barra do Piraí;BARRA DO PIRAÍ
3300456;Belford Roxo;RIO DE JANEIRO
3300506;Bom Jardim;CORDEIRO
3300605;Bom Jesus do Itabapoana;BOM JESUS DO ITABAPOANA
3300704;Cabo Frio;ARARUAMA
3300803;Cachoeiras de Macacu;TANGUÁ
3300902;Cambuci;ITAOCARA
3301009;Campos dos Goytacazes;CAMPOS DOS GOYTACAZES
3301108;Cantagalo;CORDEIRO
3300936;Carapebus;MACAÉ
3301157;Cardoso Moreira;SÃO FIDELIS
3301207;Carmo;CORDEIRO
3301306;Casimiro de Abreu;CASIMIRO DE ABREU
3300951;Comendador Levy Gasparian;TRÊS RIOS
3301405;Conceição de Macabu;MACAÉ
3301504;Cordeiro;CORDEIRO
3301603;Duas Barras;CORDEIRO
3301702;Duque de Caxias;RIO DE JANEIRO
3301801;Engenheiro Paulo de Frontin;VASSOURAS
3301850;Guapimirim;TANGUÁ
3301876;Iguaba Grande;ARARUAMA
3301900;Itaboraí;NITEROI
3302007;Itaguaí;ANGRA DOS REIS
3302056;Italva;BOM JESUS DO ITABAPOANA
3302106;Itaocara;ITAOCARA
3302205;Itaperuna;ITAPERUNA
3302254;Itatiaia;RESENDE
3302270;Japeri;RIO DE JANEIRO
3302304;Laje do Muriaé;ITAPERUNA
3302403;Macaé;MACAÉ
3302452;Macuco;CORDEIRO
3302502;Magé;NITEROI
3302601;Mangaratiba;ANGRA DOS REIS
3302700;Maricá;NITEROI
3302809;Mendes;VASSOURAS
3302858;Mesquita;RIO DE JANEIRO
3302908;Miguel Pereira;VASSOURAS
3303005;Miracema;SANTO ANTÔNIO DE PÁDUA
3303104;Natividade;NATIVIDADE
3303203;Nilópolis;RIO DE JANEIRO
3303302;Niterói;NITEROI
3303401;Nova Friburgo;NOVA FRIBURGO
3303500;Nova Iguaçu;RIO DE JANEIRO
3303609;Paracambi;RIO DE JANEIRO
3303807;Paraty;ANGRA DOS REIS
3303708;Paraíba do Sul;TRÊS RIOS
3303856;Paty do Alferes;VASSOURAS
3303906;Petrópolis;PETRÓPOLIS
3303955;Pinheiral;PIRAÍ
3304003;Piraí;PIRAÍ
3304102;Porciúncula;NATIVIDADE
3304110;Porto Real;RESENDE
3304128;Quatis;PIRAÍ
3304144;Queimados;RIO DE JANEIRO
3304151;Quissamã;MACAÉ
3304201;Resende;RESENDE
3304300;Rio Bonito;TANGUÁ
3304409;Rio Claro;PIRAÍ
3304508;Rio das Flores;VALENÇA
3304524;Rio das Ostras;CASIMIRO DE ABREU
3304557;Rio de Janeiro;RIO DE JANEIRO
3304607;Santa Maria Madalena;SANTA MARIA MADALENA
3304706;Santo Antônio de Pádua;SANTO ANTÔNIO DE PÁDUA
3305406;Sapucaia;TRÊS RIOS
3305505;Saquarema;ARARUAMA
3305554;Seropédica;RIO DE JANEIRO
3305604;Silva Jardim;TANGUÁ
3305703;Sumidouro;NOVA FRIBURGO
3304805;São Fidélis;SÃO FIDELIS
3304755;São Francisco de Itabapoana;SÃO FRANCISCO DO ITABAPOANA
3304904;São Gonçalo;NITEROI
3305133;São José de Ubá;SANTO ANTÔNIO DE PÁDUA
3305158;São José do Vale do Rio Preto;PETRÓPOLIS
3305000;São João da Barra;CAMPOS DOS GOYTACAZES
3305109;São João de Meriti;RIO DE JANEIRO
3305208;São Pedro da Aldeia;ARARUAMA
3305307;São Sebastião do Alto;CORDEIRO
3305752;Tanguá;TANGUÁ
3305802;Teresópolis;NOVA FRIBURGO
3305901;Trajano de Moraes;SANTA MARIA MADALENA
3306008;Três Rios;TRÊS RIOS
3306107;Valença;VALENÇA
3306156;Varre-Sai;NATIVIDADE
3306206;Vassouras;VASSOURAS
3306305;Volta Redonda;BARRA MANSA
